category,subject,lecturer,section,post/reply,"number of assignment","number of quiz","total assignment+quiz (including uts)","other activities","link to list of forums","link to list of assignments","link to list of quizzes"
"Semester Genap 2019/2020","[Shared Materials] GENERAL ENGLISH INTERMEDIATE  1164 1167 1153 1159","M.E. Loebis","Introductory Section",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","[Shared Materials] GENERAL ENGLISH INTERMEDIATE  1164 1167 1153 1159","M.E. Loebis","Week 1 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","[Shared Materials] GENERAL ENGLISH INTERMEDIATE  1164 1167 1153 1159","M.E. Loebis","Week 2 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","[Shared Materials] GENERAL ENGLISH INTERMEDIATE  1164 1167 1153 1159","M.E. Loebis","Week 2 Session 2",0,0,1,1,0,Link,Link,Link
"Semester Genap 2019/2020","[Shared Materials] GENERAL ENGLISH INTERMEDIATE  1164 1167 1153 1159","M.E. Loebis","Week 3 Session 1",0,0,1,1,0,Link,Link,Link
"Semester Genap 2019/2020","[Shared Materials] GENERAL ENGLISH INTERMEDIATE  1164 1167 1153 1159","M.E. Loebis","Week 3 Session 2",0,0,1,1,0,Link,Link,Link
"Semester Genap 2019/2020","[Shared Materials] GENERAL ENGLISH INTERMEDIATE  1164 1167 1153 1159","M.E. Loebis","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","[Shared Materials] GENERAL ENGLISH INTERMEDIATE  1164 1167 1153 1159","M.E. Loebis","Week 4 Session 2",0,0,"UTS - Even 2019/2020",1,0,Link,Link,Link
"Semester Genap 2019/2020","[Shared Materials] GENERAL ENGLISH INTERMEDIATE  1164 1167 1153 1159","M.E. Loebis","Week 5 Session 1",0,0,1,1,0,Link,Link,Link
"Semester Genap 2019/2020","[Shared Materials] GENERAL ENGLISH INTERMEDIATE  1164 1167 1153 1159","M.E. Loebis","Week 5 Session 2",0,0,1,1,0,Link,Link,Link
"Semester Genap 2019/2020","[Shared Materials] GENERAL ENGLISH INTERMEDIATE  1164 1167 1153 1159","M.E. Loebis","Week 6 Session 1",0,0,2,2,0,Link,Link,Link
"Semester Genap 2019/2020","[Shared Materials] GENERAL ENGLISH INTERMEDIATE  1164 1167 1153 1159","M.E. Loebis","Week 6 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","[Shared Materials] GENERAL ENGLISH INTERMEDIATE  1164 1167 1153 1159","M.E. Loebis","Week 7 Session 1",0,0,2,2,0,Link,Link,Link
"Semester Genap 2019/2020","[Shared Materials] GENERAL ENGLISH INTERMEDIATE  1164 1167 1153 1159","M.E. Loebis","Week 7 Session 2",0,0,6,6,0,Link,Link,Link
"Semester Genap 2019/2020","[Shared Materials] GENERAL ENGLISH INTERMEDIATE  1164 1167 1153 1159","M.E. Loebis","Week 8 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","[Shared Materials] GENERAL ENGLISH INTERMEDIATE  1164 1167 1153 1159","M.E. Loebis","Week 8 Session 2",0,0,"UAS - Thursday, 23 April  :  13:15 - 14:55  (Class Code:  H-1159)",5,1,Link,Link,Link
"Semester Genap 2019/2020","ACADEMIC SKILL A 1149","AJI  TRIASTITI","Introductory Section",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACADEMIC SKILL A 1149","AJI  TRIASTITI","Week 1 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","ACADEMIC SKILL A 1149","AJI  TRIASTITI","Week 1 Session 2",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","ACADEMIC SKILL A 1149","AJI  TRIASTITI","Week 2 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","ACADEMIC SKILL A 1149","AJI  TRIASTITI","Week 2 Session 2",0,0,1,1,0,Link,Link,Link
"Semester Genap 2019/2020","ACADEMIC SKILL A 1149","AJI  TRIASTITI","Week 3 Session 1",0,0,1,1,0,Link,Link,Link
"Semester Genap 2019/2020","ACADEMIC SKILL A 1149","AJI  TRIASTITI","Week 3 Session 2",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","ACADEMIC SKILL A 1149","AJI  TRIASTITI","Week 4 Session 1",0,0,1,1,0,Link,Link,Link
"Semester Genap 2019/2020","ACADEMIC SKILL A 1149","AJI  TRIASTITI","Week 4 Session 2",0,0,0,0,2,Link,Link,Link
"Semester Genap 2019/2020","ACADEMIC SKILL A 1149","Roedy Silitonga","Introductory Section",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACADEMIC SKILL A 1149","Roedy Silitonga","Week 1 Session 1",4,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","ACADEMIC SKILL A 1149","Roedy Silitonga","Week 1 Session 2",5,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","ACADEMIC SKILL A 1149","Roedy Silitonga","Week 2 Session 1",5,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","ACADEMIC SKILL A 1149","Roedy Silitonga","Week 2 Session 2",5,0,1,1,0,Link,Link,Link
"Semester Genap 2019/2020","ACADEMIC SKILL A 1149","Roedy Silitonga","Week 3 Session 1",4,0,1,1,0,Link,Link,Link
"Semester Genap 2019/2020","ACADEMIC SKILL A 1149","Roedy Silitonga","Week 3 Session 2",6,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","ACADEMIC SKILL A 1149","Roedy Silitonga","Week 4 Session 1",0,0,1,1,0,Link,Link,Link
"Semester Genap 2019/2020","ACADEMIC SKILL A 1149","Roedy Silitonga","Week 4 Session 2",0,0,0,0,2,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING INFORMATION SYSTEM A 1729","SEPTIAN BAYU KRISTIANTO","Introductory Section",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Introductory Section",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Introductory Section",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 1 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 1 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 1 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 1 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 2 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 2 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 2 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 2 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 3 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 3 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 4 Session 2",0,0,"MID TERM Accounting Principles 2",1,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 4 Session 2",0,0,"MID TERM Accounting Principles 2",1,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 5 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 5 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 5 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 5 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 6 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 6 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 6 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 6 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 7 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 7 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 7 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Eduard Ary Binsar Naibaho","Week 7 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","EDUARD NAIBAHO","Introductory Section",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","EDUARD NAIBAHO","Week 1 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","EDUARD NAIBAHO","Week 1 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","EDUARD NAIBAHO","Week 2 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","EDUARD NAIBAHO","Week 2 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","EDUARD NAIBAHO","Week 3 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","EDUARD NAIBAHO","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","EDUARD NAIBAHO","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","EDUARD NAIBAHO","Week 4 Session 2",0,0,"MID TERM Accounting Principles 2",1,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","EDUARD NAIBAHO","Week 5 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","EDUARD NAIBAHO","Week 5 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","EDUARD NAIBAHO","Week 6 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","EDUARD NAIBAHO","Week 6 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","EDUARD NAIBAHO","Week 7 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","EDUARD NAIBAHO","Week 7 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Guest user  ","Introductory Section",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Guest user  ","Week 1 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Guest user  ","Week 1 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Guest user  ","Week 2 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Guest user  ","Week 2 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Guest user  ","Week 3 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Guest user  ","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Guest user  ","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Guest user  ","Week 4 Session 2",0,0,"MID TERM Accounting Principles 2",1,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Guest user  ","Week 5 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Guest user  ","Week 5 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Guest user  ","Week 6 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Guest user  ","Week 6 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Guest user  ","Week 7 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Guest user  ","Week 7 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Herlina Lusmeida","Introductory Section",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Herlina Lusmeida","Week 1 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Herlina Lusmeida","Week 1 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Herlina Lusmeida","Week 2 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Herlina Lusmeida","Week 2 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Herlina Lusmeida","Week 3 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Herlina Lusmeida","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Herlina Lusmeida","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Herlina Lusmeida","Week 4 Session 2",0,0,"MID TERM Accounting Principles 2",1,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Herlina Lusmeida","Week 5 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Herlina Lusmeida","Week 5 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Herlina Lusmeida","Week 6 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Herlina Lusmeida","Week 6 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Herlina Lusmeida","Week 7 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Herlina Lusmeida","Week 7 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Meiliana Jaunanda","Introductory Section",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Meiliana Jaunanda","Week 1 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Meiliana Jaunanda","Week 1 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Meiliana Jaunanda","Week 2 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Meiliana Jaunanda","Week 2 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Meiliana Jaunanda","Week 3 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Meiliana Jaunanda","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Meiliana Jaunanda","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Meiliana Jaunanda","Week 4 Session 2",0,0,"MID TERM Accounting Principles 2",1,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Meiliana Jaunanda","Week 5 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Meiliana Jaunanda","Week 5 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Meiliana Jaunanda","Week 6 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Meiliana Jaunanda","Week 6 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Meiliana Jaunanda","Week 7 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Meiliana Jaunanda","Week 7 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Wijaya Triwacananingrum","Introductory Section",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Wijaya Triwacananingrum","Week 1 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Wijaya Triwacananingrum","Week 1 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Wijaya Triwacananingrum","Week 2 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Wijaya Triwacananingrum","Week 2 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Wijaya Triwacananingrum","Week 3 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Wijaya Triwacananingrum","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Wijaya Triwacananingrum","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Wijaya Triwacananingrum","Week 4 Session 2",0,0,"MID TERM Accounting Principles 2",1,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Wijaya Triwacananingrum","Week 5 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Wijaya Triwacananingrum","Week 5 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Wijaya Triwacananingrum","Week 6 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Wijaya Triwacananingrum","Week 6 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Wijaya Triwacananingrum","Week 7 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB [Shared Materials] 4354 1537","Wijaya Triwacananingrum","Week 7 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB A 1524","Guest user  ","Introductory Section",0,0,0,0,1,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB A 1524","Guest user  ","Week 1 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB A 1524","Guest user  ","Week 1 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB A 1524","Guest user  ","Week 2 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB A 1524","Guest user  ","Week 2 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB A 1524","Guest user  ","Week 3 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB A 1524","Guest user  ","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB A 1524","Guest user  ","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB A 1524","Guest user  ","Week 4 Session 2",0,0,"UTS_Accounting Principle 2",1,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB A 1524","Guest user  ","Week 5 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB A 1524","Guest user  ","Week 5 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB A 1524","Guest user  ","Week 6 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB A 1524","Guest user  ","Week 6 Session 2",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","ACCOUNTING PRINCIPLES 2 + LAB A 1524","Guest user  ","Week 7 Session 1",0,1,0,1,0,Link,Link,Link
